class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Jump,0.497900188,0.157661214,-0.51483649,0.999981523,0.506471455,0.149737507,-0.495226443,0.999955595,0.513610542,0.15118584,-0.495592982,0.999946058,0.519152045,0.152232692,-0.495605469,0.999965012,0.489750803,0.148880795,-0.498116642,0.999973357,0.483153969,0.150012255,-0.498498589,0.999974728,0.47754541,0.151002496,-0.498731524,0.999982059,0.527940571,0.162538692,-0.356813729,0.999963045,0.469797522,0.16230005,-0.367694318,0.999936283,0.509436786,0.185301483,-0.458085954,0.999989927,0.488657147,0.187812194,-0.463501394,0.999991,0.576843262,0.293242604,-0.23597607,0.999993443,0.423275083,0.297574401,-0.26034528,0.999988675,0.593133748,0.444413483,-0.164638832,0.998182833,0.398951113,0.444988072,-0.23958011,0.997750223,0.567011952,0.581410408,-0.265196145,0.995965779,0.432141244,0.583067298,-0.347554386,0.996062338,0.558681011,0.626396954,-0.308253467,0.98961246,0.434179157,0.623784125,-0.400017589,0.987313867,0.545137346,0.61346972,-0.348438084,0.990670383,0.446789026,0.61728704,-0.430644333,0.98856461,0.543869197,0.599200964,-0.281773597,0.987005413,0.450872719,0.602408767,-0.362512887,0.982553601,0.539227009,0.559686303,0.003449717,0.999987245,0.457704872,0.557118416,-0.003685141,0.999985337,0.53668201,0.764084458,0.002694356,0.994503081,0.45286411,0.76024729,0.010658936,0.981216192,0.528488576,0.942184806,0.222033575,0.983222365,0.462617725,0.938801587,0.190799415,0.984901786,0.518192589,0.963635504,0.233085468,0.877183199,0.474019229,0.962496579,0.20023191,0.858725369,0.542508364,1.000707984,0.059734285,0.978919446,0.444695145,0.995390296,0.027854517,0.976118326
Jump,0.497717798,0.166136965,-0.56990689,0.999982059,0.506408572,0.147731349,-0.55239296,0.999956846,0.513519406,0.14852111,-0.552834809,0.999947369,0.518939018,0.149851367,-0.552811623,0.999965727,0.489721596,0.148564771,-0.551687896,0.999974072,0.483167559,0.149850577,-0.552106678,0.999975443,0.477540016,0.151405513,-0.552377701,0.999982595,0.527920842,0.162749559,-0.417003959,0.999964178,0.469880104,0.165634945,-0.412665993,0.999938667,0.508747697,0.190346748,-0.513869941,0.999989986,0.48801747,0.189804778,-0.514974833,0.999991,0.575769305,0.301156044,-0.300840646,0.999993503,0.423287958,0.304603428,-0.291049421,0.999988914,0.592478454,0.452164054,-0.238497972,0.997695446,0.39930132,0.450417697,-0.267628789,0.997331977,0.564278722,0.591400683,-0.337903053,0.994348407,0.43210119,0.589689553,-0.39110446,0.99570936,0.557804227,0.634626627,-0.383390397,0.986956,0.43389526,0.629121482,-0.446019173,0.986944079,0.541993797,0.626820564,-0.422079235,0.988151312,0.446637392,0.625433683,-0.47796768,0.988201022,0.539277434,0.61354351,-0.353531271,0.983392477,0.45090422,0.611420929,-0.407241106,0.982056081,0.538875997,0.566172481,0.002484798,0.999987781,0.45732227,0.56356138,-0.002695749,0.999986112,0.534269989,0.768053412,0.09191668,0.993373573,0.452545345,0.763873518,0.106497899,0.979504347,0.52848947,0.941693723,0.368618309,0.983699203,0.462611675,0.938281178,0.348184645,0.985213935,0.518332005,0.962595701,0.385108978,0.877749264,0.47333613,0.961089015,0.363725036,0.859703898,0.541258454,1.000996947,0.212850526,0.979561448,0.445425332,0.994987547,0.190809041,0.976763844
Jump,0.497724205,0.205924228,-0.551718354,0.999982119,0.506339848,0.18649739,-0.525102556,0.999956965,0.51341331,0.186956152,-0.525522649,0.999947906,0.518707871,0.187932566,-0.525506377,0.999965847,0.489676893,0.188189536,-0.524607956,0.999974072,0.483190238,0.18963185,-0.52500391,0.999975622,0.477538675,0.191151276,-0.525247693,0.999982595,0.52725035,0.200109079,-0.372315109,0.999964535,0.469973981,0.204576507,-0.368975282,0.999938965,0.508702517,0.229581103,-0.491609275,0.999989808,0.488020182,0.229768917,-0.493192017,0.999990821,0.573481917,0.337355912,-0.274551004,0.999993384,0.423287809,0.339209706,-0.260073155,0.999988794,0.592188656,0.486508638,-0.236528754,0.997611344,0.399312019,0.490066111,-0.274029791,0.997266233,0.565118074,0.626400888,-0.353716075,0.994349241,0.432375014,0.627264559,-0.418566614,0.995789409,0.561540246,0.672623634,-0.398665249,0.987216651,0.434398264,0.666575432,-0.472825825,0.987430394,0.545185924,0.668292582,-0.438599735,0.988382041,0.447741598,0.663158774,-0.50113833,0.988621354,0.541910291,0.65314585,-0.369827926,0.983685851,0.452199042,0.64936471,-0.433245659,0.982700169,0.539330602,0.584434211,0.000208717,0.999988198,0.458104759,0.585259974,-0.000481452,0.999986529,0.535865605,0.777886569,-0.249693438,0.99387598,0.447327852,0.781529188,-0.108669735,0.980770946,0.527973056,0.941810191,0.099129125,0.984544694,0.462827623,0.938106477,0.249938801,0.985880554,0.51797998,0.962952197,0.127458379,0.883687437,0.473997414,0.959473193,0.248875663,0.8659091,0.540993452,1.002068281,-0.012325341,0.980600595,0.444982529,0.99502331,0.063786268,0.977740705
Jump,0.497141927,0.202913672,-0.401765049,0.999980152,0.504243374,0.186938211,-0.378849596,0.999951422,0.510252118,0.186572567,-0.379249394,0.99994278,0.515625238,0.186459079,-0.379200637,0.999962807,0.489617825,0.189347178,-0.378876388,0.999968469,0.483355939,0.190707177,-0.379271626,0.999970317,0.478061825,0.191874295,-0.379481524,0.999977648,0.524353445,0.196133658,-0.242236659,0.999962926,0.471152872,0.204273209,-0.240721986,0.999919832,0.507658243,0.224604711,-0.347207367,0.999988496,0.488703817,0.22532925,-0.34934175,0.999988198,0.572940111,0.31846419,-0.147655025,0.999993443,0.425244868,0.32909289,-0.141204864,0.999984145,0.619785845,0.436074406,-0.11861255,0.997264147,0.387207091,0.442376792,-0.180360109,0.993192315,0.589973152,0.552847743,-0.26491785,0.993786812,0.40471673,0.540233731,-0.360077202,0.981794178,0.582597792,0.590610445,-0.309672356,0.986567855,0.411849588,0.577066123,-0.415782124,0.968855262,0.569007516,0.586565077,-0.34238258,0.987728715,0.420848697,0.571907878,-0.438682944,0.970574498,0.568275213,0.573943794,-0.27887255,0.982549608,0.421695799,0.558179975,-0.374377072,0.96174103,0.537684143,0.585238814,0.00076266,0.999988735,0.4576841,0.58595264,-0.001046275,0.999986708,0.536609054,0.778830826,-0.091419004,0.994068027,0.444063336,0.781250238,-0.066697635,0.981737673,0.527974904,0.941782117,0.160470054,0.985661924,0.462824017,0.937600732,0.203761339,0.986843169,0.517981529,0.962957799,0.17610535,0.88895148,0.474032104,0.958965242,0.220422789,0.873000324,0.541324914,1.002823472,0.009451021,0.981842697,0.444053084,0.995119095,0.035048697,0.979143798
Jump,0.496745676,0.202648655,-0.394375354,0.999978483,0.503089964,0.187341124,-0.372171849,0.999946535,0.508652389,0.186825737,-0.372570097,0.999938309,0.514018834,0.186513916,-0.372519672,0.999960124,0.48958382,0.189832449,-0.371896833,0.999963582,0.483511597,0.191138208,-0.37229234,0.999965727,0.478468806,0.192201033,-0.37250036,0.999973357,0.522815049,0.195698276,-0.23773846,0.999961436,0.471933216,0.204236448,-0.234750062,0.999903023,0.506979048,0.22392492,-0.340466172,0.999987304,0.489187181,0.224729374,-0.342178583,0.999985874,0.572493911,0.316038787,-0.143717125,0.999993503,0.42650789,0.326674163,-0.133561105,0.999980032,0.624860108,0.430670947,-0.112091698,0.996938348,0.383858144,0.435476422,-0.169531479,0.989542782,0.595981061,0.547308922,-0.254794121,0.993227065,0.398418754,0.532075822,-0.347695589,0.969331682,0.58851403,0.584567845,-0.298979551,0.985871613,0.405916452,0.569551766,-0.402642727,0.952223897,0.576147199,0.580626309,-0.331659496,0.987035871,0.414320081,0.564243734,-0.425780535,0.954424977,0.575477719,0.568000376,-0.268640727,0.981379271,0.414949805,0.550321519,-0.362112612,0.94305259,0.536833882,0.585787892,0.00070776,0.999989271,0.457368046,0.586451471,-0.000990232,0.999986947,0.536983371,0.779411137,-0.080514863,0.994268715,0.442314565,0.781004548,-0.04953739,0.982623875,0.528014839,0.941818476,0.166531146,0.98670119,0.462824255,0.937346339,0.187749535,0.987742901,0.518036008,0.962965846,0.181036815,0.893861294,0.474050283,0.95875895,0.204588726,0.879642308,0.541417897,1.003368974,0.009241385,0.983018398,0.443252563,0.995277941,0.032949783,0.980473697
Jump,0.496572256,0.086482398,-0.325138867,0.999950588,0.5026595,0.065033346,-0.301436216,0.999878526,0.508516192,0.063464187,-0.301813513,0.999861002,0.514078438,0.063143484,-0.301788896,0.999900639,0.489321321,0.069420502,-0.303349108,0.999896348,0.483534873,0.070908412,-0.303742588,0.999896884,0.478543699,0.072362237,-0.303848147,0.999880135,0.522798538,0.075042561,-0.156258196,0.999934494,0.472532749,0.080679104,-0.164348602,0.999778748,0.507002831,0.103392944,-0.268883049,0.999925435,0.489571005,0.105691545,-0.273481935,0.999881864,0.568077803,0.184957653,-0.132173404,0.999981999,0.436183274,0.179917499,-0.174440473,0.999849856,0.618573368,0.201065317,-0.478146017,0.994674087,0.406342089,0.160838768,-0.604969025,0.97901988,0.656842828,0.195756808,-0.904266536,0.99112767,0.401736736,0.142938659,-1.068885088,0.959248602,0.672369361,0.194011077,-0.99612534,0.983891845,0.396337539,0.132799461,-1.179084301,0.942935407,0.663808882,0.195154965,-1.010601282,0.9851982,0.405154556,0.136647224,-1.16886282,0.943923473,0.657231152,0.199400514,-0.92481339,0.978261173,0.409679472,0.147156134,-1.083871007,0.926295578,0.53312248,0.477845788,0.011949444,0.999983966,0.456308782,0.476222783,-0.012309914,0.999975979,0.536595285,0.680177689,-0.024036933,0.972512603,0.449130774,0.682669759,-0.019355867,0.948539495,0.5371961,0.896247804,0.173795849,0.982771099,0.452637523,0.882775843,0.231702879,0.979143202,0.528697371,0.916376352,0.180100054,0.868799329,0.458423287,0.904008329,0.245914608,0.841434956,0.548045099,0.980703056,-0.023122462,0.978455961,0.441951215,0.967247963,0.054885216,0.967494845
Jump,0.50409776,0.130776852,-0.331955522,0.999460816,0.512711704,0.111185551,-0.306179315,0.998976827,0.518125415,0.111211419,-0.306664437,0.998845458,0.522912264,0.111509234,-0.306640893,0.999209881,0.497714609,0.111786842,-0.308854759,0.998972297,0.49307242,0.112506084,-0.30918771,0.998913348,0.488577545,0.11328885,-0.309335262,0.998786867,0.527698874,0.118187457,-0.161748499,0.999548733,0.480378926,0.120367616,-0.172603309,0.997569025,0.513262868,0.149363965,-0.275518447,0.998458743,0.49706316,0.148407161,-0.281708032,0.997285843,0.571011543,0.213959664,-0.157869965,0.999882102,0.444471598,0.214920282,-0.183144286,0.998246014,0.644200087,0.202008858,-0.498626232,0.98803097,0.44302386,0.222048312,-0.574056089,0.920594573,0.608980656,0.185076863,-0.812894464,0.965661824,0.474271059,0.194156259,-0.922192454,0.885323107,0.597597063,0.185710579,-0.892576337,0.948898315,0.476437747,0.192635775,-1.016337872,0.869811356,0.587535083,0.180842817,-0.881028354,0.949715018,0.486634821,0.194485247,-0.995146096,0.869812489,0.586824298,0.187498182,-0.818849683,0.937318742,0.486876309,0.199172765,-0.929035187,0.848580658,0.532502174,0.534027934,0.014407818,0.999973893,0.451125443,0.525650442,-0.014632531,0.99995482,0.537017822,0.74235189,0.051116712,0.928136408,0.443936408,0.733690321,0.018113317,0.895442367,0.524589539,0.929848433,0.281954974,0.964571238,0.463232189,0.922970712,0.194036886,0.959391654,0.513814747,0.952954531,0.291632056,0.823040545,0.476573855,0.949397802,0.201062173,0.792351246,0.532378972,0.997864962,0.09594287,0.958588421,0.44782415,0.996370912,0.004922837,0.94258374
Jump,0.504109144,0.205752626,-0.369447082,0.999459386,0.512707174,0.1869701,-0.341280222,0.998992383,0.518304467,0.188178778,-0.341795743,0.998869061,0.522991419,0.188917205,-0.341767162,0.999224484,0.497323036,0.186602071,-0.340344161,0.999011755,0.492687166,0.187164038,-0.340777904,0.998967052,0.487989843,0.188027114,-0.341079891,0.998862565,0.528248191,0.198010474,-0.186285719,0.99953109,0.479186684,0.201170221,-0.182987377,0.997628868,0.513121963,0.226688087,-0.308991671,0.998563409,0.496540695,0.226340905,-0.310677022,0.997501314,0.571036994,0.334455639,-0.127306491,0.999884605,0.434714466,0.329661578,-0.093831405,0.998384714,0.605321586,0.470511109,-0.192206651,0.983716905,0.408565283,0.453269809,-0.220221907,0.912025571,0.551322877,0.500911176,-0.422538459,0.9631235,0.40639919,0.448516428,-0.548605502,0.891870975,0.535743833,0.513769746,-0.480297387,0.94821763,0.405649722,0.447035432,-0.628098011,0.878507555,0.532499611,0.493121892,-0.500435114,0.949265599,0.40804553,0.425223738,-0.64622426,0.878878951,0.536931694,0.486254364,-0.433652461,0.935207427,0.410560936,0.426503986,-0.566524506,0.857571363,0.534308672,0.603767216,0.000717359,0.999972403,0.452460855,0.59699142,-0.000845415,0.999954581,0.536313415,0.806948006,-0.020487575,0.933889985,0.447644562,0.789289832,-0.158473536,0.903727055,0.522742391,0.9304322,0.282588392,0.966867566,0.464327961,0.928559721,0.150898099,0.961692333,0.510800898,0.951595068,0.301420867,0.831306756,0.47673884,0.950610518,0.175951049,0.801243901,0.533758998,0.997878015,0.148620144,0.960697293,0.45023784,0.997317672,0.016300736,0.945402086
Jump,0.500940144,0.179907188,-0.279339492,0.99934876,0.507442236,0.163005933,-0.25801605,0.998700321,0.512228191,0.163573042,-0.258387625,0.998511136,0.517166853,0.163977936,-0.258329451,0.99898833,0.493802249,0.162923709,-0.257441849,0.998882592,0.489141703,0.163505763,-0.257907599,0.998882949,0.484445393,0.164155215,-0.258182675,0.998856783,0.524488986,0.173453793,-0.123156644,0.999240756,0.478019387,0.175570041,-0.119482473,0.997431457,0.508535445,0.200594097,-0.224696755,0.998533666,0.492694616,0.199602053,-0.22631149,0.997592211,0.56928134,0.293168128,-0.03091063,0.999872625,0.430076659,0.287713379,-0.032807775,0.998513997,0.594660282,0.389299303,-0.029294606,0.912513375,0.386687696,0.365325361,-0.089510515,0.863631189,0.571932912,0.469554454,-0.206956387,0.87386018,0.388835639,0.411482543,-0.294490039,0.822645664,0.546302736,0.493310273,-0.249843881,0.86230129,0.387647092,0.428167135,-0.349355608,0.812328994,0.558573008,0.483650893,-0.284110606,0.863903224,0.39259544,0.419055581,-0.373480469,0.813449919,0.554174185,0.472785503,-0.223783135,0.849858344,0.396068931,0.411646873,-0.310822427,0.791301012,0.534287453,0.581544995,0.002568562,0.999974191,0.45219475,0.572308779,-0.002736446,0.999958217,0.536380589,0.793139279,-0.051594503,0.937485993,0.447478622,0.773358464,-0.083195426,0.909082174,0.522649109,0.930459261,0.17824696,0.968741953,0.464725345,0.929290414,0.14927426,0.963870168,0.510899603,0.951558352,0.189961493,0.83105123,0.476849318,0.950724006,0.165921897,0.800746739,0.534456372,0.997670352,-0.003187583,0.962390363,0.451963097,0.9955706,-0.013357353,0.947841823
Jump,0.496888489,0.106234722,-0.285632402,0.999379039,0.503753424,0.090440683,-0.263823956,0.998750031,0.508269429,0.091022626,-0.264225572,0.998578966,0.513423324,0.09137848,-0.264190942,0.999034762,0.490765035,0.08941368,-0.260504693,0.99890703,0.485789925,0.090110585,-0.260839581,0.998904765,0.480765581,0.091050014,-0.260965765,0.998869359,0.520816982,0.102011479,-0.13264659,0.999287128,0.475702852,0.103740163,-0.117301106,0.997442007,0.504485428,0.127632588,-0.234297916,0.998622119,0.488464057,0.127177656,-0.232639596,0.997714162,0.566938043,0.20817861,-0.08873006,0.999875605,0.430875927,0.212344989,-0.067830712,0.998270988,0.617972612,0.227677584,-0.259859502,0.918964267,0.399528354,0.331847221,-0.287533045,0.801443815,0.631372571,0.255197644,-0.614539027,0.881466746,0.389463484,0.328707248,-0.584313989,0.748658776,0.637866735,0.261099458,-0.71779424,0.868257701,0.382358253,0.332034886,-0.661305904,0.741074443,0.618888736,0.242907196,-0.73517251,0.869977474,0.388217658,0.328140676,-0.674135685,0.74270463,0.619236946,0.258123845,-0.639096677,0.853822887,0.391741931,0.330016702,-0.602726817,0.721883059,0.531104565,0.510707438,0.003720839,0.999975145,0.451398432,0.5074808,-0.003896856,0.999957561,0.532013535,0.718004823,-0.01308808,0.933065832,0.450537056,0.712917447,-0.041611552,0.898661613,0.526671231,0.915335953,0.180594921,0.96828717,0.457570076,0.917316794,0.16167739,0.960934281,0.517101526,0.934442759,0.185252264,0.822205245,0.465540707,0.931585312,0.173259601,0.785442531,0.534470916,0.991395116,-0.047488868,0.962418914,0.451854378,0.987337172,-0.018948082,0.944943607
